url,name,ingredients
https://celiac.org/marketplace/recipe/caribbean-cream-pop/,Caribbean Cream Pop,Cream Cheese
https://celiac.org/marketplace/recipe/caribbean-cream-pop/,Caribbean Cream Pop,Honey
https://celiac.org/marketplace/recipe/caribbean-cream-pop/,Caribbean Cream Pop,Ice Pop Molds 
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Bread Mix
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Salt
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Paprika
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Cayenne Pepper
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Butter
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Cheddar Cheese
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Egg
https://celiac.org/marketplace/recipe/cheese-crisps/,Cheese Crisps,Water
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Flour
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Flour
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Xanthan Gum
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Baking Powder
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Fine Salt
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Butter
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Sugar
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Egg
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Vanilla Extract
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Red Food Coloring
https://celiac.org/marketplace/recipe/cherry-pinwheel-cookies/,Cherry Pinwheel Cookies,Cherry Extract
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Butter
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Sugar
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Brown Sugar
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Eggs
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Vanilla Extract
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Baking Mix
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Salt
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Chocolate
https://celiac.org/marketplace/recipe/chewy-chocolate-chip-cookies-with-cauliflower/,Chewy Chocolate Chip Cookies with Cauliflower,Nuts
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Red Leaf Lettuce
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Chives
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Bean Sprouts
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Cherry Tomatoes
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Grapefruit Zest
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Avocado
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Asparagus
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Crackers
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Chicken Cutlets
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Mango
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Salt
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",White Pepper
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Peanut Butter
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Water
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Soy Sauce
https://celiac.org/marketplace/recipe/chicken-asparagus-and-mango-lettuce-wraps/,"Chicken, Asparagus and Mango Lettuce Wraps",Grapefruit Juice
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Apple
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Sticks
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Buttery Spread
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Brown Sugar
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Rice Milk
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Brown Rice Syrup
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Pure Vanilla Extract
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Vanilla Honey Graham Crunchy Cookies
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Dark Chocolate
https://celiac.org/marketplace/recipe/chocolate-graham-caramel-apples/,Chocolate Graham Caramel Apples,Tasteless Oil
https://celiac.org/marketplace/recipe/chocolate-matcha-truffles/,Chocolate Matcha Truffles,Chocolate Honeygrams
https://celiac.org/marketplace/recipe/chocolate-matcha-truffles/,Chocolate Matcha Truffles,White Chocolate
https://celiac.org/marketplace/recipe/chocolate-matcha-truffles/,Chocolate Matcha Truffles,Heavy Cream
https://celiac.org/marketplace/recipe/chocolate-matcha-truffles/,Chocolate Matcha Truffles,Unsalted Butter
https://celiac.org/marketplace/recipe/chocolate-matcha-truffles/,Chocolate Matcha Truffles,Matcha Green Tea Powder
https://celiac.org/marketplace/recipe/chocolate-mint-chex-mix/,Chocolate Mint Chex Mix,Chocolate Chex Cereal
https://celiac.org/marketplace/recipe/chocolate-mint-chex-mix/,Chocolate Mint Chex Mix,Corn Chex Cereal
https://celiac.org/marketplace/recipe/chocolate-mint-chex-mix/,Chocolate Mint Chex Mix,Mint Chocolate Chips
https://celiac.org/marketplace/recipe/chocolate-mint-chex-mix/,Chocolate Mint Chex Mix,Dark Chocolate
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Avocados
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Mango
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Tomato
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Red Onion
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Cilantro
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Lime Juice
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Salt
https://celiac.org/marketplace/recipe/chunky-mango-guacamole/,Chunky Mango Guacamole,Almond Nut Thins
https://celiac.org/marketplace/recipe/churros/,Churros,Water
https://celiac.org/marketplace/recipe/churros/,Churros,White Sugar
https://celiac.org/marketplace/recipe/churros/,Churros,Salt
https://celiac.org/marketplace/recipe/churros/,Churros,Vegetable Oil
https://celiac.org/marketplace/recipe/churros/,Churros,Flour Mix
https://celiac.org/marketplace/recipe/churros/,Churros,Oil
https://celiac.org/marketplace/recipe/churros/,Churros,Sugar
https://celiac.org/marketplace/recipe/churros/,Churros,Cinnamon
https://celiac.org/marketplace/recipe/cranberry-glazed-meatballs/,Cranberry Glazed Meatballs,Turkey
https://celiac.org/marketplace/recipe/cranberry-glazed-meatballs/,Cranberry Glazed Meatballs,Pork Sausage
https://celiac.org/marketplace/recipe/cranberry-glazed-meatballs/,Cranberry Glazed Meatballs,Sweet Potato
https://celiac.org/marketplace/recipe/cranberry-glazed-meatballs/,Cranberry Glazed Meatballs,Apple
https://celiac.org/marketplace/recipe/cranberry-glazed-meatballs/,Cranberry Glazed Meatballs,Egg
https://celiac.org/marketplace/recipe/cranberry-glazed-meatballs/,Cranberry Glazed Meatballs,Parsley
